,statistic,pval,fdr,df.test,df.dna,df.rna.full,df.rna.red
seq1884_[chr20:10585135-10585305],16.92183212,0.009574857,0.031413077,6,92,18,12
seq1885_[chr20:10610618-10610788],2.842708768,0.828313843,0.893371692,6,90,18,12
seq1886_[chr20:10618280-10618450],8.410391054,0.209551756,0.362968711,6,91,18,12
seq1887_[chr20:10620597-10620767],6.47402572,0.372232766,0.537176646,6,81,18,12
seq1888_[chr20:10636505-10636675],8.599148637,0.197408095,0.348614809,6,89,18,12
seq1889_[chr20:10648380-10648550],2.830439562,0.829807772,0.894428108,6,81,18,12
seq189_[chr10:55264315-55264485],39.95378316,4.65E-07,4.23E-06,6,92,18,12
seq1890_[chr20:10667424-10667594],5.79439793,0.446611563,0.606717595,6,81,18,12
seq1891_[chr20:11228779-11228949],4.783762366,0.571831359,0.711849879,6,86,18,12
seq1892_[chr20:11229613-11229783],4.07986019,0.665869936,0.784675077,6,77,18,12
seq1893_[chr20:13181416-13181586],2.811644372,0.832088971,0.895992327,6,85,18,12
seq1894_[chr20:14354967-14355137],4.682690877,0.585105327,0.720962346,6,83,18,12
seq1895_[chr20:14697077-14697247],10.05080842,0.122528609,0.246724274,6,84,18,12
seq1896_[chr20:14805702-14805872],6.179382679,0.403398653,0.568600005,6,52,18,12
seq1897_[chr20:20198393-20198563],1.450785733,0.962696408,0.976999326,6,90,18,12
seq1898_[chr20:20376885-20377055],4.336397423,0.631252802,0.758186413,6,99,18,12
seq1899_[chr20:43274951-43275121],3.287652676,0.7719731,0.858879606,6,83,18,12
seq19_[chr1:11741207-11741377],40.58592296,3.49E-07,3.29E-06,6,97,18,12
seq190_[chr10:55357653-55357823],4.821104012,0.566954289,0.707100293,6,77,18,12
seq1900_[chr20:46433296-46433466],22.38684488,0.001030127,0.004691041,6,92,18,12
seq1901_[chr20:46608186-46608356],23.25212497,0.000716287,0.003383311,6,98,18,12
seq1902_[chr20:48275684-48275854],8.255496427,0.219976235,0.375411077,6,83,18,12
seq1903_[chr20:48304671-48304841],2.140449703,0.906338702,0.940586795,6,71,18,12
seq1904_[chr20:55500095-55500265],19.8785063,0.002910695,0.011406587,6,98,18,12
seq1905_[chr21:28419875-28420045],7.585591093,0.270062306,0.43028187,6,76,18,12
seq1906_[chr21:32711337-32711507],5.175811528,0.521469989,0.670315766,6,67,18,12
seq1907_[chr21:32928273-32928443],14.19289474,0.027554097,0.076943516,6,84,18,12
seq1908_[chr21:43170286-43170456],7.690216954,0.261688515,0.420723116,6,99,18,12
seq1909_[chr22:21325480-21325650],22.95474709,0.000811778,0.003780726,6,98,18,12
seq191_[chr10:59546820-59546990],7.461767901,0.280243571,0.440193911,6,84,18,12
seq1910_[chr22:23525574-23525744],7.28323928,0.295445825,0.456006766,6,98,18,12
seq1911_[chr22:26790853-26791023],17.76005637,0.006860655,0.023828923,6,81,18,12
seq1912_[chr22:27858302-27858472],4.997829908,0.544091477,0.689234282,6,99,18,12
seq1913_[chr22:27876600-27876770],39.41208512,5.94E-07,5.37E-06,6,99,18,12
seq1914_[chr22:27898396-27898566],13.02062165,0.04270964,0.108360458,6,90,18,12
seq1915_[chr22:28066736-28066906],10.68614575,0.098574469,0.211605467,6,99,18,12
seq1916_[chr22:30066682-30066852],5.215840678,0.516443039,0.665282522,6,91,18,12
seq1917_[chr22:33666665-33666835],8.278834997,0.218378607,0.37388214,6,73,18,12
seq1918_[chr22:46301456-46301626],8.129441823,0.228772667,0.385327811,6,99,18,12
seq1919_[chr3:14880887-14881057],5.913281219,0.432974249,0.595479298,6,96,18,12
seq192_[chr10:61900517-61900687],6.955843471,0.324950098,0.488477967,6,77,18,12
seq1920_[chr3:17054660-17054830],1.095605763,0.981727038,0.987658924,6,88,18,12
seq1921_[chr3:29036077-29036247],7.829449643,0.250866489,0.40984856,6,94,18,12
seq1922_[chr3:57193336-57193506],7.112012726,0.310612513,0.472097203,6,90,18,12
seq1923_[chr3:62351392-62351562],11.71554713,0.068623891,0.157870506,6,93,18,12
seq1924_[chr3:62694389-62694559],5.237131119,0.513778839,0.663133153,6,82,18,12
seq1925_[chr3:62791356-62791526],5.925583979,0.431577707,0.594007091,6,82,18,12
seq1926_[chr3:62809356-62809526],4.87833185,0.559510177,0.700768741,6,78,18,12
seq1927_[chr3:64624784-64624954],4.62838618,0.592278566,0.725439126,6,84,18,12
seq1928_[chr3:66622792-66622962],4.346364342,0.629913194,0.756918696,6,77,18,12
seq1929_[chr3:87016371-87016541],5.704126945,0.457136281,0.615677984,6,86,18,12
seq193_[chr10:69621993-69622163],18.08961552,0.006012101,0.021298187,6,59,18,12
seq1930_[chr3:104464270-104464440],7.253306384,0.298055618,0.459236648,6,89,18,12
seq1931_[chr3:112843186-112843356],6.11555315,0.410371126,0.575238772,6,69,18,12
seq1932_[chr3:112994783-112994953],14.35022558,0.025959465,0.07310361,6,98,18,12
seq1933_[chr3:116142218-116142388],10.16337314,0.117938487,0.240757188,6,74,18,12
seq1934_[chr3:122683687-122683857],2.907143103,0.82040791,0.888987835,6,91,18,12
seq1935_[chr3:123518942-123519112],10.32424639,0.111644782,0.23187878,6,98,18,12
seq1936_[chr3:151979225-151979395],3.498613234,0.744154189,0.837527149,6,79,18,12
seq1937_[chr3:155432158-155432328],6.369508172,0.38309469,0.548690459,6,92,18,12
seq1938_[chr3:184288419-184288589],7.194338703,0.303248348,0.464017001,6,99,18,12
seq1939_[chr3:188016495-188016665],10.17765258,0.1173673,0.239774914,6,84,18,12
seq194_[chr10:69913462-69913632],194.7326413,2.51E-39,2.38E-37,6,88,18,12
seq1940_[chr3:193391776-193391946],6.565905521,0.362861535,0.528823848,6,97,18,12
seq1941_[chr3:193490302-193490472],12.05066717,0.06084798,0.144040111,6,99,18,12
seq1942_[chr3:193656384-193656554],19.73705954,0.003084073,0.011976634,6,98,18,12
seq1943_[chr3:193930097-193930267],10.94785824,0.090001366,0.196045495,6,86,18,12
seq1944_[chr4:10298512-10298682],10.63554697,0.100314808,0.213790918,6,88,18,12
seq1945_[chr4:10537716-10537886],7.939140492,0.242596033,0.400666977,6,85,18,12
seq1946_[chr4:30544748-30544918],2.073056351,0.912858412,0.944043016,6,78,18,12
seq1947_[chr4:55306955-55307125],4.536023659,0.604538766,0.736729768,6,71,18,12
seq1948_[chr4:84558285-84558455],13.52150417,0.035462699,0.094661953,6,75,18,12
seq1949_[chr4:84786794-84786964],2.557480613,0.861980018,0.915741639,6,83,18,12
seq195_[chr10:70630914-70631084],24.96323374,0.000346848,0.001794182,6,98,18,12
seq1950_[chr4:105553552-105553722],32.09661029,1.56E-05,0.000110199,6,84,18,12
seq1951_[chr4:113982113-113982283],6.302946276,0.390123336,0.555175516,6,83,18,12
seq1952_[chr4:151287851-151288021],5.43535378,0.489304257,0.64243792,6,81,18,12
seq1953_[chr4:151467570-151467740],3.505961939,0.743176317,0.8370708,6,54,18,12
seq1954_[chr5:2538365-2538535],32.03720758,1.61E-05,0.000112236,6,99,18,12
seq1955_[chr5:3395211-3395381],7.741144027,0.257687781,0.416553549,6,81,18,12
seq1956_[chr5:4337794-4337964],6.537262079,0.365765152,0.531296818,6,81,18,12
seq1957_[chr5:9196823-9196993],4.076484306,0.66632664,0.784675077,6,83,18,12
seq1958_[chr5:9197490-9197660],9.751998974,0.135491918,0.263852683,6,80,18,12
seq1959_[chr5:30239642-30239812],13.41943943,0.036838218,0.097358149,6,88,18,12
seq196_[chr10:71626528-71626698],1.276063493,0.97296117,0.98292323,6,98,18,12
seq1960_[chr5:31107283-31107453],3.823419537,0.700558117,0.807434149,6,81,18,12
seq1961_[chr5:45419487-45419657],11.15238826,0.083779335,0.186300625,6,85,18,12
seq1962_[chr5:57919441-57919611],8.403736503,0.209991011,0.363021449,6,81,18,12
seq1963_[chr5:57963078-57963248],11.05770426,0.086609301,0.191316068,6,91,18,12
seq1964_[chr5:58295687-58295857],6.042466234,0.418449849,0.58158037,6,53,18,12
seq1965_[chr5:80902064-80902234],4.625513205,0.592658818,0.725571274,6,74,18,12
seq1966_[chr5:92010148-92010318],16.83687645,0.009901819,0.03236619,6,89,18,12
seq1967_[chr5:97906606-97906776],6.60765052,0.358658823,0.526087668,6,72,18,12
seq1968_[chr5:102283477-102283647],9.418991603,0.151349091,0.287344237,6,81,18,12
seq1969_[chr5:107080552-107080722],2.703253629,0.845062843,0.905570158,6,96,18,12
seq197_[chr10:71627639-71627809],24.3515325,0.000449933,0.002252349,6,97,18,12
seq1970_[chr5:121765480-121765650],5.473886626,0.484618464,0.637857504,6,77,18,12
seq1971_[chr5:123599751-123599921],2.804553782,0.832947225,0.896554104,6,79,18,12
seq1972_[chr5:124745599-124745769],8.0246279,0.236304551,0.393693136,6,73,18,12
seq1973_[chr5:134938950-134939120],3.359164771,0.762603044,0.851511412,6,87,18,12
seq1974_[chr5:141870676-141870846],4.590576311,0.597288717,0.730568018,6,75,18,12
seq1975_[chr5:146669995-146670165],1.424322392,0.964362159,0.977536587,6,86,18,12
seq1976_[chr5:146712246-146712416],14.61750723,0.023449639,0.06749081,6,81,18,12
seq1977_[chr5:151028613-151028783],8.245577128,0.220658172,0.376093007,6,79,18,12
seq1978_[chr5:158379167-158379337],6.698307806,0.349650619,0.516908574,6,70,18,12
seq1979_[chr5:158489364-158489534],12.31616321,0.055276022,0.134112317,6,93,18,12
seq198_[chr10:74516842-74517012],20.10751486,0.002649954,0.010599818,6,76,18,12
seq1980_[chr5:170006723-170006893],2.730585851,0.841821432,0.902822985,6,99,18,12
seq1981_[chr6:18748530-18748700],6.239412365,0.396912455,0.561774389,6,88,18,12
seq1982_[chr6:19605939-19606109],5.116990116,0.528898332,0.677071195,6,76,18,12
seq1983_[chr6:24944187-24944357],5.394129355,0.494343813,0.646420338,6,70,18,12
seq1984_[chr6:52190848-52191018],5.092002967,0.532068443,0.679752744,6,94,18,12
seq1985_[chr6:89186204-89186374],17.71631539,0.006981657,0.02415472,6,79,18,12
seq1986_[chr6:89201088-89201258],3.019748738,0.806364104,0.880346453,6,83,18,12
seq1987_[chr6:94334271-94334441],2.223592597,0.89802925,0.937441192,6,86,18,12
seq1988_[chr6:112028146-112028316],6.57029793,0.362417704,0.528740834,6,77,18,12
seq1989_[chr6:112052832-112053002],2.439040015,0.875226704,0.921826117,6,75,18,12
seq199_[chr10:74646843-74647013],1.345674555,0.969079528,0.981369836,6,84,18,12
seq1990_[chr6:115257347-115257517],6.081394398,0.414134324,0.578522484,6,66,18,12
seq1991_[chr6:115262360-115262530],3.486532059,0.745760676,0.838626611,6,82,18,12
seq1992_[chr6:125425640-125425810],4.949317676,0.550329796,0.693472342,6,72,18,12
seq1993_[chr6:134348506-134348676],9.507431763,0.146986897,0.281100569,6,66,18,12
seq1994_[chr6:135572133-135572303],56.89416341,1.92E-10,2.62E-09,6,80,18,12
seq1995_[chr6:140209846-140210016],7.201043525,0.302654473,0.463640895,6,74,18,12
seq1996_[chr6:155920768-155920938],5.397687873,0.493907728,0.646420338,6,79,18,12
seq1997_[chr6:165934749-165934919],14.02063375,0.029406521,0.08101238,6,68,18,12
seq1998_[chr7:8229412-8229582],1.856888906,0.93237859,0.958450316,6,94,18,12
seq1999_[chr7:18461327-18461497],3.298009455,0.770620361,0.858249432,6,77,18,12
seq2_[chr1:2478386-2478556],42.31239748,1.60E-07,1.57E-06,6,98,18,12
seq20_[chr1:12676022-12676192],21.67177979,0.001388333,0.006073104,6,84,18,12
seq200_[chr10:77161522-77161692],32.69618258,1.20E-05,8.66E-05,6,99,18,12
seq2000_[chr7:21081387-21081557],13.08340618,0.041730406,0.106688868,6,94,18,12
seq2001_[chr7:29596496-29596666],18.70842335,0.004685476,0.017098777,6,85,18,12
seq2002_[chr7:30596585-30596755],18.95505485,0.004240216,0.015865076,6,85,18,12
seq2003_[chr7:31082708-31082878],7.495798415,0.277415999,0.437558449,6,99,18,12
seq2004_[chr7:31750003-31750173],11.25774047,0.080729888,0.180878403,6,86,18,12
seq2005_[chr7:31807457-31807627],3.849797003,0.696994448,0.805105694,6,76,18,12
seq2006_[chr7:41989656-41989826],3.74087231,0.71169489,0.815302392,6,84,18,12
seq2007_[chr7:42105678-42105848],5.02751898,0.540288479,0.685721062,6,72,18,12
seq2008_[chr7:42252343-42252513],5.086074562,0.532821831,0.680132898,6,75,18,12
seq2009_[chr7:46255633-46255803],7.694039073,0.261386552,0.42049141,6,92,18,12
seq201_[chr10:77162007-77162177],16.10911417,0.013180137,0.04125956,6,98,18,12
seq2010_[chr7:46321828-46321998],2.653477445,0.850911173,0.909276921,6,89,18,12
seq2011_[chr7:47528624-47528794],4.43064247,0.618608384,0.748817157,6,89,18,12
seq2012_[chr7:47945211-47945381],7.293274766,0.294574779,0.455453983,6,80,18,12
seq2013_[chr7:116017867-116018037],13.68504628,0.033359221,0.090039477,6,89,18,12
seq2014_[chr7:121969304-121969474],34.33404498,5.80E-06,4.52E-05,6,99,18,12
seq2015_[chr7:131569341-131569511],2.283716493,0.891844659,0.932812788,6,82,18,12
seq2016_[chr7:154148708-154148878],7.962067538,0.240895532,0.398663155,6,86,18,12
seq2018_[chr8:6473929-6474099],3.25585174,0.776117155,0.861511375,6,71,18,12
seq2019_[chr8:8771625-8771795],6.14630904,0.407001776,0.57216503,6,78,18,12
seq202_[chr10:77301875-77302045],22.97020728,0.000806519,0.003762812,6,83,18,12
seq2020_[chr8:13214951-13215121],5.910600855,0.433278879,0.595590781,6,87,18,12
seq2021_[chr8:34273191-34273361],4.749295464,0.576346241,0.714668038,6,72,18,12
seq2022_[chr8:38329724-38329894],49.80402394,5.15E-09,6.12E-08,6,99,18,12
seq2023_[chr8:41158710-41158880],6.435598585,0.376201392,0.540852946,6,81,18,12
seq2024_[chr8:41168776-41168946],18.66622784,0.004766077,0.017321733,6,80,18,12
seq2025_[chr8:62420330-62420500],2.304264066,0.88969837,0.932031639,6,79,18,12
seq2026_[chr8:63197953-63198123],12.8341513,0.045746553,0.114646113,6,85,18,12
seq2027_[chr8:65936285-65936455],2.87043754,0.824923829,0.891520114,6,77,18,12
seq2028_[chr8:77687726-77687896],3.748739313,0.710634725,0.815206271,6,86,18,12
seq2029_[chr8:89100768-89100938],108.2136153,4.82E-21,1.78E-19,6,90,18,12
seq203_[chr10:77842878-77843048],22.09995847,0.001161391,0.005199907,6,86,18,12
seq2030_[chr8:91682663-91682833],20.30659401,0.002441928,0.009856251,6,81,18,12
seq2031_[chr8:102901369-102901539],6.096512367,0.412466081,0.576959442,6,83,18,12
seq2032_[chr8:109092236-109092406],10.65377267,0.099684765,0.213138971,6,60,18,12
seq2033_[chr8:109799081-109799251],4.145201918,0.657033948,0.779751881,6,79,18,12
seq2034_[chr8:134968074-134968244],1.051799981,0.983572191,0.98854808,6,79,18,12
seq2035_[chr8:139892955-139893125],5.071245379,0.534708424,0.68156136,6,75,18,12
seq2036_[chr9:3954423-3954593],5.553897442,0.474966552,0.629584765,6,79,18,12
seq2037_[chr9:3954823-3954993],7.375072409,0.287548436,0.44724413,6,73,18,12
seq2038_[chr9:4050990-4051160],10.07795667,0.121407251,0.245393716,6,73,18,12
seq2039_[chr9:13966930-13967100],23.22430552,0.00072473,0.003417135,6,88,18,12
seq204_[chr10:77863178-77863348],26.19537976,0.000204735,0.001119944,6,82,18,12
seq2040_[chr9:16309427-16309597],4.102845512,0.662760817,0.783811359,6,82,18,12
seq2041_[chr9:20252895-20253065],12.81049254,0.046146015,0.115430031,6,82,18,12
seq2042_[chr9:23291150-23291320],2.166912351,0.903725295,0.938530762,6,69,18,12
seq2043_[chr9:23799700-23799870],3.952849449,0.683057252,0.795655671,6,78,18,12
seq2044_[chr9:72158029-72158199],8.100202995,0.23085374,0.388145998,6,99,18,12
seq2045_[chr9:73181796-73181966],7.908956056,0.244849611,0.403388599,6,81,18,12
seq2046_[chr9:73886663-73886833],14.47491068,0.024758413,0.07024112,6,79,18,12
seq2047_[chr9:73998299-73998469],5.530277052,0.477804891,0.631494641,6,88,18,12
seq2048_[chr9:74382773-74382943],12.95775001,0.043711808,0.109960582,6,99,18,12
seq2049_[chr9:75895166-75895336],10.64230768,0.100080679,0.213467052,6,91,18,12
seq205_[chr10:77909540-77909710],4.281686832,0.638615052,0.765303867,6,81,18,12
seq2050_[chr9:100168888-100169058],11.34201011,0.078364115,0.176617599,6,86,18,12
seq2051_[chr9:108414177-108414347],237.9069705,1.57E-48,1.90E-46,6,92,18,12
seq2052_[chr9:108420773-108420943],7.568330051,0.271463896,0.430913805,6,87,18,12
seq2053_[chr9:108438869-108439039],5.957937421,0.427918446,0.590049038,6,89,18,12
seq2054_[chr9:113765665-113765835],5.542135475,0.47637876,0.630751997,6,82,18,12
seq2055_[chr9:113861795-113861965],20.09175085,0.002667147,0.010631559,6,69,18,12
seq2056_[chr9:117483997-117484167],3.63959392,0.725314151,0.822928832,6,79,18,12
seq2057_[chr9:117880883-117881053],21.41581108,0.001544191,0.006656511,6,98,18,12
seq2058_[chr9:129216679-129216849],11.64126519,0.070467234,0.160798948,6,99,18,12
seq2059_[chr9:129719739-129719909],11.31072862,0.079234799,0.178127852,6,89,18,12
seq206_[chr10:77910406-77910576],4.060287476,0.668518007,0.785243373,6,95,18,12
seq2060_[chr9:135016844-135017014],21.98288737,0.001219549,0.005423839,6,99,18,12
seq2061_[chr9:135484500-135484670],10.43898024,0.10734169,0.225705666,6,99,18,12
seq2062_[chrX:68137790-68137960],12.51718119,0.051377018,0.125682622,6,90,18,12
seq2063_[chrX:131631573-131631743],73.65589197,7.26E-14,1.46E-12,6,75,18,12
seq2065_[chr1:38507625-38507795],26.53708287,0.000176768,0.000987231,6,99,18,12
seq2066_[chr1:38518914-38519084],11.7524418,0.067724946,0.156750005,6,99,18,12
seq2067_[chr1:38529894-38530064],3.454551459,0.750006282,0.841270204,6,98,18,12
seq2068_[chr1:38537585-38537755],0.415775055,0.998717738,0.998937997,6,87,18,12
seq2069_[chr1:38541869-38542039],8.481488071,0.204906404,0.356545173,6,96,18,12
seq207_[chr10:80053347-80053517],8.70064845,0.191126439,0.340499327,6,95,18,12
seq2070_[chr1:38549333-38549503],7.657568597,0.264279164,0.424631902,6,99,18,12
seq2071_[chr1:38605791-38605961],8.803149428,0.18495522,0.332022039,6,99,18,12
seq2072_[chr1:38648860-38649030],30.56732663,3.07E-05,0.000200158,6,97,18,12
seq2073_[chr1:38709916-38710086],23.550174,0.000631677,0.003026598,6,99,18,12
seq2074_[chr1:38736206-38736376],79.52472229,4.48E-15,1.00E-13,6,99,18,12
seq2075_[chr1:38751484-38751654],6.962313881,0.324346468,0.488440376,6,99,18,12
seq2076_[chr1:38758020-38758190],12.36564081,0.054291572,0.1320847,6,99,18,12
seq2077_[chr1:38869458-38869628],8.312562624,0.216086766,0.371150964,6,79,18,12
seq2078_[chr1:38884183-38884353],8.549263366,0.200558577,0.351029522,6,67,18,12
seq2079_[chr1:38910333-38910503],6.552429467,0.364225599,0.529638099,6,66,18,12
seq208_[chr10:82220592-82220762],14.56731432,0.023902621,0.068469443,6,99,18,12
seq2080_[chr11:31784973-31785143],5.88004705,0.436760703,0.598100101,6,83,18,12
seq2081_[chr11:31885099-31885269],3.286271401,0.772153399,0.858879606,6,84,18,12
seq2082_[chr11:31892645-31892815],7.093994648,0.31224209,0.47396748,6,99,18,12
seq2083_[chr11:31908841-31909011],3.09928708,0.796286091,0.874887216,6,84,18,12
seq2084_[chr12:103344292-103344462],3.985906599,0.678583743,0.793944151,6,98,18,12
seq2085_[chr12:103437392-103437562],13.33907616,0.037956486,0.0995237,6,82,18,12
seq2086_[chr12:103437628-103437798],0.893453823,0.98933079,0.992310702,6,85,18,12
seq2087_[chr12:103601913-103602083],16.25220137,0.012462446,0.039570865,6,76,18,12
seq2088_[chr13:112547651-112547821],9.88748161,0.129471088,0.255537919,6,98,18,12
seq2089_[chr13:112726838-112727008],22.32618833,0.001056607,0.004778951,6,98,18,12
seq209_[chr10:82224536-82224706],21.91856363,0.00125271,0.005562032,6,95,18,12
seq2090_[chr13:112727083-112727253],6.313148333,0.38904045,0.554421917,6,99,18,12
seq2091_[chr13:112727746-112727916],20.22010529,0.002530268,0.01013629,6,94,18,12
seq2092_[chr13:112758246-112758416],8.248507929,0.220456503,0.375989835,6,99,18,12
seq2093_[chr13:112816195-112816365],3.942860818,0.684408834,0.796881614,6,73,18,12
seq2094_[chr13:112859217-112859387],5.219540574,0.515979572,0.665007053,6,99,18,12
seq2095_[chr13:112861551-112861721],14.4442907,0.025048372,0.070988153,6,79,18,12
seq2096_[chr14:57200227-57200397],2.19104938,0.901315898,0.938530762,6,92,18,12
seq2097_[chr14:57261004-57261174],11.85124039,0.065370928,0.152494003,6,99,18,12
seq2098_[chr14:57313785-57313955],13.75736448,0.032467146,0.087898859,6,73,18,12
seq2099_[chr14:57322896-57323066],17.00437604,0.009267175,0.030554152,6,98,18,12
seq21_[chr1:12678324-12678494],15.61007613,0.016007128,0.048402939,6,99,18,12
seq210_[chr10:83011342-83011512],9.754200256,0.135392152,0.263851276,6,64,18,12
seq2100_[chr14:57355117-57355287],4.349345017,0.629512678,0.756918696,6,69,18,12
seq2101_[chr14:57361378-57361548],6.495832581,0.369993534,0.53568629,6,78,18,12
seq2102_[chr14:57372146-57372316],5.63820486,0.464912607,0.622688379,6,78,18,12
seq2103_[chr14:57385998-57386168],59.27291798,6.32E-11,9.31E-10,6,89,18,12
seq2104_[chr14:57465497-57465667],8.943569421,0.176776649,0.320821736,6,86,18,12
seq2105_[chr18:22511207-22511377],14.37292917,0.025736723,0.072680527,6,78,18,12
seq2106_[chr18:22529973-22530143],5.723686013,0.454843645,0.613575701,6,84,18,12
seq2107_[chr18:22559278-22559448],8.23343038,0.221495618,0.377260397,6,99,18,12
seq2108_[chr18:22623883-22624053],4.743960764,0.577046152,0.714668038,6,72,18,12
seq2109_[chr18:22628079-22628249],71.22472799,2.29E-13,4.30E-12,6,88,18,12
seq211_[chr10:86327000-86327170],12.55761722,0.050624348,0.124183482,6,83,18,12
seq2110_[chr18:22657025-22657195],1.990680877,0.920553681,0.95001776,6,83,18,12
seq2111_[chr18:22847063-22847233],5.874889398,0.437350139,0.598100101,6,97,18,12
seq2112_[chr18:22909786-22909956],3.63722823,0.725631539,0.82293845,6,80,18,12
seq2113_[chr18:22929685-22929855],10.28357317,0.113206956,0.233222238,6,25,18,12
seq2114_[chr18:23045520-23045690],12.01924667,0.06154081,0.145135474,6,73,18,12
seq2115_[chr18:23255524-23255694],40.52581601,3.59E-07,3.34E-06,6,84,18,12
seq2117_[chr2:2124683-2124853],13.22654845,0.039576128,0.10295977,6,97,18,12
seq2118_[chr2:2295765-2295935],5.522096611,0.478790062,0.632373191,6,99,18,12
seq2119_[chr2:2332813-2332983],4.544735664,0.603379318,0.735653319,6,86,18,12
seq212_[chr10:86571102-86571272],24.72740694,0.000383496,0.00194968,6,72,18,12
seq2120_[chr2:2524344-2524514],17.16183739,0.008706513,0.029108874,6,99,18,12
seq2121_[chr2:2547179-2547349],9.196179591,0.162841959,0.303364321,6,84,18,12
seq2122_[chr2:2617351-2617521],16.18965851,0.012771396,0.040311611,6,98,18,12
seq2123_[chr2:2650571-2650741],7.143029994,0.307822288,0.470187611,6,90,18,12
seq2124_[chr2:2698628-2698798],17.78907094,0.006781514,0.023677528,6,98,18,12
seq2125_[chr2:2791814-2791984],4.149973718,0.656389013,0.779751881,6,76,18,12
seq2126_[chr2:2835494-2835664],30.31061895,3.43E-05,0.000221836,6,99,18,12
seq2127_[chr3:181101740-181101910],7.849389183,0.24934645,0.409356257,6,69,18,12
seq2128_[chr3:181474680-181474850],6.826808412,0.337161386,0.501786554,6,71,18,12
seq2129_[chr3:181598213-181598383],4.247583114,0.643211152,0.768736881,6,78,18,12
seq213_[chr10:88613589-88613759],9.599324448,0.142571245,0.274826192,6,72,18,12
seq2130_[chr3:181716727-181716897],11.14185923,0.084089811,0.186835076,6,87,18,12
seq2131_[chr3:181930353-181930523],45.6058072,3.55E-08,3.76E-07,6,89,18,12
seq2132_[chr3:181956041-181956211],24.90707978,0.000355249,0.001826993,6,99,18,12
seq2133_[chr6:98566380-98566550],2.895013355,0.821903763,0.88969997,6,92,18,12
seq2134_[chr6:98584234-98584404],3.24599896,0.777398078,0.86255247,6,80,18,12
seq2136_[chr6:98814500-98814670],4.222592629,0.646582011,0.772072827,6,80,18,12
seq2137_[chr6:98864774-98864944],31.56146826,1.98E-05,0.00013594,6,98,18,12
seq2138_[chr6:98935623-98935793],3.57792412,0.733575023,0.830532878,6,99,18,12
seq2139_[chr6:98973889-98974059],11.73966614,0.068034991,0.157120501,6,81,18,12
seq214_[chr10:90751461-90751631],7.73099878,0.258480861,0.4173291,6,98,18,12
seq2140_[chr6:99007332-99007502],4.101923578,0.662885507,0.783811359,6,84,18,12
seq2141_[chr6:99049822-99049992],5.976013333,0.425882453,0.588154927,6,76,18,12
seq2142_[chr6:99090064-99090234],9.647267992,0.140313951,0.27133575,6,77,18,12
seq2143_[chr6:99151334-99151504],63.11732246,1.04E-11,1.72E-10,6,99,18,12
seq2144_[chr6:99164386-99164556],7.976683564,0.239816511,0.397864712,6,99,18,12
seq2145_[chr6:99236140-99236310],5.781991278,0.448049468,0.608360746,6,79,18,12
seq2146_[chr6:99293701-99293871],13.15038963,0.040708948,0.104781291,6,99,18,12
seq2147_[chr9:126763605-126763775],11.7174072,0.068578308,0.157870506,6,81,18,12
seq2148_[chr9:126785107-126785277],4.067268725,0.667573435,0.784970492,6,97,18,12
seq2149_[chr9:126803358-126803528],8.747863435,0.188262456,0.336146905,6,97,18,12
seq215_[chr10:92690066-92690236],10.41825614,0.108107752,0.226949607,6,81,18,12
seq2150_[chr9:126872684-126872854],14.0856953,0.028693412,0.079790448,6,99,18,12
seq2151_[chr9:126887966-126888136],32.9115963,1.09E-05,7.94E-05,6,97,18,12
seq2152_[chr9:126889215-126889385],13.55150213,0.035067721,0.093795592,6,99,18,12
seq2154_[chr14:57366719-57366889],5.44188794,0.488507977,0.642025283,6,84,18,12
seq2155_[chr14:57369135-57369305],13.92001594,0.030542504,0.083366015,6,88,18,12
seq2156_[chr14:57370202-57370372],4.397971592,0.622985715,0.752327264,6,47,18,12
seq2157_[chr14:57431658-57431828],3.822027309,0.700746154,0.807434149,6,82,18,12
seq2158_[chr3:181425849-181426019],3.398186345,0.75746257,0.84784886,6,67,18,12
seq2159_[chr3:181433881-181434051],14.59993895,0.023607252,0.067831945,6,75,18,12
seq216_[chr10:95550308-95550478],16.11674263,0.013140892,0.041185101,6,79,18,12
seq2160_[chr3:181448754-181448924],13.12571301,0.041082488,0.105538811,6,75,18,12
seq2161_[chr3:181578200-181578370],10.42278425,0.107939953,0.226776053,6,80,18,12
seq2162_[chr1:38512643-38512813],17.71987504,0.006971733,0.024151751,6,99,18,12
seq2163_[chr2:2335725-2335895],72.46621568,1.27E-13,2.50E-12,6,98,18,12
seq2164_[chr3:181429415-181429585],22.98555267,0.000801332,0.003745172,6,98,18,12
seq2165_[chr6:99282262-99282432],34.44875796,5.51E-06,4.32E-05,6,98,18,12
seq2166_[chr9:126773515-126773685],20.03500826,0.002729938,0.010822256,6,99,18,12
seq2167_[chr12:103351077-103351247],20.85378,0.001948941,0.008137898,6,97,18,12
seq2168_[chr13:112720866-112721036],6.739289049,0.345631974,0.511819665,6,90,18,12
seq217_[chr10:98105168-98105338],143.9875685,1.44E-28,9.15E-27,6,85,18,12
seq2170_[chr18:22932396-22932566],2.089771168,0.91125987,0.943122103,6,94,18,12
seq2172_[chr1:2470835-2471005],3.957251261,0.682461607,0.79530959,6,95,18,12
seq2173_[chr1:3017826-3017996],20.62487222,0.002142045,0.008847146,6,93,18,12
seq2174_[chr1:3115541-3115711],17.59131618,0.007338952,0.025129781,6,99,18,12
